Text,Name,Created At,Tweet Type,
"Happy Labor Day - longest streak of job growth ever, unemployment cut in half. That's what hardworking Americans can do. Let's keep going!",President Obama,Mon Sep 05 16:57:23 +0000 2016,Tweet,
Congrats to NASA and the scientists taking us a step closer to Mars. Now enjoy Hawaii and get a shave ice! https://t.co/lFZjSnn38x,President Obama,Mon Aug 29 16:28:19 +0000 2016,Tweet,
"Congratulations to Maine-Endwell, Little League World Series Champs and still undefeated! Proud of you and the sportsmanship you showed.",President Obama,Mon Aug 29 00:08:26 +0000 2016,Tweet,
"Nearly 100 years ago, women broke down barriers to the ballot box, moving us closer to a more equal nation. Let's finish what they started.",President Obama,Fri Aug 26 16:08:26 +0000 2016,Tweet,
"100 years and going strong. Thanks @NatlParkService for your service, so our kids enjoy our parks as much as we have https://t.co/1v3W2HLD6f",President Obama,Thu Aug 25 18:05:02 +0000 2016,Tweet,
"Felicitaciones, @JuanManSantos and Colombia. After decades of war, we stand with you in building a future of peace. https://t.co/haXJaqgS9f",President Obama,Thu Aug 25 15:32:50 +0000 2016,Tweet,
"Couldn't be prouder of #TeamUSA. Your determination and passion inspired so many of us. You carried that flag high tonight, @Simone_Biles!",President Obama,Mon Aug 22 01:07:24 +0000 2016,Tweet,
Final win for Phelps. World record for Ledecky. 3 #1 finishes for Biles. That's how #TeamUSA gets America to 1000 golds-way to make history.,President Obama,Sun Aug 14 23:06:03 +0000 2016,Tweet,
"Been waiting to drop this: summer playlist, the encore. What's everybody listening to? https://t.co/mqh1YVrycj",President Obama,Thu Aug 11 14:31:50 +0000 2016,Tweet,https://pbs.twimg.com/media/CpldBtJVMAE57rj.jpg
The struggle for the Voting Rights Act taught us that people who love this country can change it. Don't give away your power - go vote.,President Obama,Sat Aug 06 20:59:47 +0000 2016,Tweet,
"Tonight, the first-ever #TeamRefugees will also stand before the world and prove that you can succeed no matter where you're from.",President Obama,Fri Aug 05 23:22:08 +0000 2016,Reply,
Ready to root on #TeamUSA! Our team's unity and diversity makes us so proud - and reminds the world why America sets the gold standard.,President Obama,Fri Aug 05 23:21:18 +0000 2016,Tweet,
"Longest streak of total job growth on record, wages rising at fastest pace in 7 years. We've come a long way, America—let's keep it going.",President Obama,Fri Aug 05 19:11:33 +0000 2016,Tweet,
"Great speech. She's tested. She's ready. She never quits. That's why Hillary should be our next @POTUS. (She'll get the Twitter handle, too)",President Obama,Fri Jul 29 03:30:20 +0000 2016,Tweet,
"Incredible speech by an incredible woman. Couldn't be more proud &amp; our country has been blessed to have her as FLOTUS. I love you, Michelle.",President Obama,Tue Jul 26 02:25:19 +0000 2016,Tweet,
"¡Bienvenido, amigo! We value our enduring partnership with Mexico &amp; will work to strengthen it in the years to come. https://t.co/mjlABSm7jF",President Obama,Fri Jul 22 19:17:39 +0000 2016,Tweet,
"This map says it all. Stay safe as it heats up: Drink water, stay out of the sun, and check on your neighbors. https://t.co/c1qFTmq2IV",President Obama,Wed Jul 20 16:36:13 +0000 2016,Tweet,
44 men came home because Chuck Kettles believed that we leave no man behind. That's America at our best. https://t.co/UymO2AaRHg,President Obama,Mon Jul 18 14:15:01 +0000 2016,Tweet,
"Congrats Carla Hayden, our newest Librarian of Congress! Her confirmation is certainly one for the history books.
https://t.co/5T8rvSRp9e",President Obama,Thu Jul 14 01:38:58 +0000 2016,Tweet,
"Incredible! After a 5-year journey, we're up close and personal with our solar system's largest planet. Welcome to Jupiter, @NASAJuno!",President Obama,Tue Jul 05 17:21:09 +0000 2016,Tweet,
"Happy Fourth of July, everybody! And to our brave men and women in uniform: On this day and every day, we thank you.",President Obama,Mon Jul 04 14:00:12 +0000 2016,Tweet,
