Text,Name,Created At,Tweet Type
"RT @EdMarkey : The first round of ballots are arriving in mailboxes across Massachusetts. That means for thousands of people, election day is today. There’s no time to waste to get out the vote. Sign up for a shift at https://t.co/tqtPilnphX.",Alexandria Ocasio-Cortez,Tue Aug 04 16:19:18 +0000 2020,Retweet
".@NationalNurses in my community CONSTANTLY communicate how housing is a major determinant of health.

A wave of evictions + housing instability means yet another crush on our healthcare system.

We must do whatever we can to guarantee housing during this pandemic (&amp; overall!) https://t.co/6fiCGIoEW5",Alexandria Ocasio-Cortez,Tue Aug 04 15:51:44 +0000 2020,Tweet
RT @DaveLeeFT : .@AOC’s grasp of using social media to engage with young voters is second to none. From her Instagram story today: https://t.co/g1rTAFnH2J,Alexandria Ocasio-Cortez,Tue Aug 04 14:42:19 +0000 2020,Retweet
"@mattgmaher Thank you so much, this is incredible!

You are so talented!",Alexandria Ocasio-Cortez,Tue Aug 04 02:27:46 +0000 2020,Reply
"@padrealberto @YourFavXtian Greetings - I have in fact made several statements about this clip being intentionally manipulated out of context, &amp; those who misled abt what I said. My statements can be easily found on my Twitter feed or in reports on the matter.

Hope you all are doing well and staying safe!",Alexandria Ocasio-Cortez,Tue Aug 04 02:22:30 +0000 2020,Reply
@SimonDunn321 @AnandWrites Oh hey! Didn’t see this. Thanks for the update 😂,Alexandria Ocasio-Cortez,Tue Aug 04 02:07:58 +0000 2020,Reply
"@AnandWrites If it makes you feel any better, I got “hostage video” and your screencap is much more dashing 😂",Alexandria Ocasio-Cortez,Mon Aug 03 23:13:22 +0000 2020,Reply
"RT @abigailtracy : Worth reminding folks that it was @AOC who solicited this answer from Cohen when he testified before Congress last year: “What you do is you deflate the value of the asset and then you put in a request to the tax department for a deduction."" https://t.co/XmYCIprEtm",Alexandria Ocasio-Cortez,Mon Aug 03 17:26:15 +0000 2020,Retweet
"RT @MondaireJones : It’s true. Had ⁦@AOC⁩ not run for Congress in ‘18, I doubt I would’ve announced my own long-shot bid last summer. She shows us what’s possible, against conventional wisdom. The best leaders in American politics are able to will things into existence. https://t.co/hf3iDyosfH",Alexandria Ocasio-Cortez,Mon Aug 03 00:56:01 +0000 2020,Retweet
"It is ironic that many claiming to “defend” a saint no one attacked approached this matter w/ such lack of grace or generosity.

Instead of examining for truth, many jumped to irrational conclusions &amp; sprung to cast judgement &amp; condescension w/o engaging the actual idea presented",Alexandria Ocasio-Cortez,Sun Aug 02 18:43:58 +0000 2020,Reply
"We have 100+ statues and portraits in the Capitol. Almost all of them are of white men.

Every single statue there could be of a canonized saint and that *still* doesn’t change the fact that the erasure of women &amp; BIPOC from American history is a feature of white supremacy.",Alexandria Ocasio-Cortez,Sun Aug 02 18:38:14 +0000 2020,Reply
"Yep.

At no point did I say Fr. Damien was a bad figure - in fact, I explicitly stated that my observations weren’t about litigating his or any individual statue.

It’s about the fact that a huge supermajority of statues in the Capitol are white men. Barely any women or BIPOC. https://t.co/son0SZ2HVS",Alexandria Ocasio-Cortez,Sun Aug 02 18:35:52 +0000 2020,Tweet
RT @JustinKollar : Lots of super bad faith takes out there on social media accusing @AOC of hating on Father Damien. This is the (very good) point she was making. https://t.co/hL91Q8AvP8,Alexandria Ocasio-Cortez,Sun Aug 02 18:32:38 +0000 2020,Retweet
"RT @mattkatz00 : Black immigrants are more likely to be detained and deported than the overall immigrant population. Meet Ousman Darboe -- pardoned by @GovCuomo, supported by @AOC &amp; @SenGillibrand -- yet still in ICE detention longer than any NYer. 3 years. 1/4 https://t.co/39oH6R8DMl",Alexandria Ocasio-Cortez,Sun Aug 02 17:05:57 +0000 2020,Retweet
"RT @IlhanMN : 🚨Today is the day! 🚨

We have just nine days left to get out the vote! Join our volunteer team for a Day of Action and end the day with a special live stream featuring @AOC, @AyannaPressley, and more progressives.

Come ready with questions for us!

https://t.co/dHRRbH0Nyp",Alexandria Ocasio-Cortez,Sun Aug 02 16:59:14 +0000 2020,Retweet
