Text,Name,Created At,Tweet Type
"3 months out from #Election2020  its more than the monthly haul its how much @TeamTrump &amp; @AmericaFirstPAC have been spending/investing in ads, data and ground game for the past 3 years - Trump campaign out-raises Biden's by $20 million in July
via @axios https://t.co/D2OuOGnroP",Sean Spicer,Thu Aug 06 00:54:53 +0000 2020,Tweet
"What are we doing to prevent voter fraud for vote by mail? @DHSgov @HomelandKen breaks down the difference between vote-by-mail and absentee voting-- an important distinction. 

WATCH: https://t.co/wZJ7XDke4e https://t.co/MQzjEOTtyB",Sean Spicer,Wed Aug 05 23:29:13 +0000 2020,Tweet
"""We do have a problem with a lot on the Left who just refuse to condemn the violent criminals, Portland being the poster child for this""

Acting Dep Sec of @DHSgov Ken Cucinelli joins us to discuss the violence and destruction in Portland

 @HomelandKen https://t.co/wZJ7XDke4e https://t.co/x1Tq9xuWv7",Sean Spicer,Wed Aug 05 23:27:51 +0000 2020,Tweet
"Will Big Tech have influence over our 2020 elections? Should leaders like @POTUS @realDonaldTrump being using alternative platforms like @parler_app? 

@RepDevinNunes joins us to discuss these issues with Big Tech and more, dont miss the full interview: https://t.co/StqIPJLRnt https://t.co/kNwWIC8P9n",Sean Spicer,Wed Aug 05 23:12:39 +0000 2020,Tweet
"Nice to put this seat back in Republican hands - congrats to Peter Meijer @VoteMeijer who won the @GOP primary in race to fill Justin Amash's Michigan seat

https://t.co/uskoZV4QXe",Sean Spicer,Wed Aug 05 19:52:30 +0000 2020,Tweet
Tonight on #spicerandco at 6pm on  @newsmax - Acting Dep Secretary of Homeland @DHSgov @HomelandKen Cuccinelli discusses #PortlandRiots - Congressman @DevinNunes on BigTech censorship and @DuckDynastyAE ‘a Phil Robertson @DuckCommanderPR on his new book,Sean Spicer,Wed Aug 05 19:48:30 +0000 2020,Tweet
RT @RichardGrenell : cc: America https://t.co/iRF9EDHMkJ,Sean Spicer,Wed Aug 05 17:38:21 +0000 2020,Retweet
"Congress is now discussing giving stimulus checks to dead people.  Can wait for phase 5
https://t.co/o0hc3L2AdI",Sean Spicer,Wed Aug 05 17:36:25 +0000 2020,Tweet
"This mail in thing seems like piece of cake .....20,000 absentee ballots are being mailed by Connecticut town clerks one week before primary
via @cnn -- attention people who work at CNN 
https://t.co/uCMdrlOsoI",Sean Spicer,Wed Aug 05 16:32:00 +0000 2020,Tweet
".@politico &amp; much of legacy media continue to perpetuate this myth - every American has been been able &amp; still is able to vote absentee; the voter just has to request the ballot. Very different than when a state like NV sends everyone on the rolls a ballot
https://t.co/zjdnp1xCkG",Sean Spicer,Wed Aug 05 10:15:39 +0000 2020,Tweet
I assume you have two sources that both wish to be anonymous https://t.co/jEJ4Hwajom,Sean Spicer,Wed Aug 05 03:13:44 +0000 2020,Tweet
"Democrat Congresswoman Carolyn Maloney is declaring victory TONIGHT after the state board of elections certified the primary vote that occurred on June 23 -- June, not July - its concerning that it takes over a month to certify a dem primary in a house district",Sean Spicer,Wed Aug 05 02:46:01 +0000 2020,Tweet
"if anyone wants to know what is at stake in #Election2020 this column by @hughhewitt lays it out perfectly - Hack. Pack. Pack. Tax. Slash. Grab: The Democratic agenda of 2020
https://t.co/xBCeKCO1Nq",Sean Spicer,Wed Aug 05 02:37:28 +0000 2020,Tweet
RT @benpershing : Kansas primary result is seen boosting Republicans’ prospects of keeping their Senate majority in November https://t.co/vwvp9JQFWa,Sean Spicer,Wed Aug 05 02:36:17 +0000 2020,Retweet
big win for @RepMarshall in Kansas tonight #kssen,Sean Spicer,Wed Aug 05 02:34:17 +0000 2020,Tweet
"RT @seanspicer : .@RepVernonJones was asked by @craigmelvin if he was being paid by @TeamTrump for his support of their policies - for many reasons he was offended by that implication, we discussed it, watch: https://t.co/CXQrDsib1I https://t.co/AGR05i6mlx",Sean Spicer,Wed Aug 05 02:10:14 +0000 2020,Retweet
"Trump is right about vote fraud — here’s proof
via Deroy Murdock
https://t.co/YbVQvmU3tO",Sean Spicer,Wed Aug 05 01:51:15 +0000 2020,Tweet
"""My signature?  I don't remember signing this"" @jonathanvswan https://t.co/PoDkmQrg6C",Sean Spicer,Wed Aug 05 01:28:51 +0000 2020,Tweet
"Trump's campaign knocks on a million doors a week. Biden's knocks on 0.
@realDonaldTrump @TeamTrump 
https://t.co/Z35MHUSaLY",Sean Spicer,Wed Aug 05 01:07:45 +0000 2020,Tweet
".@RepVernonJones was asked by @craigmelvin if he was being paid by @TeamTrump for his support of their policies - for many reasons he was offended by that implication, we discussed it, watch: https://t.co/CXQrDsib1I https://t.co/AGR05i6mlx",Sean Spicer,Tue Aug 04 22:33:59 +0000 2020,Tweet
"maybe should be the VP nominee of that party?

Karen Bass eulogized Communist Party USA leader
via @politico @MarcACaputo 
https://t.co/R6TPwDh6R1",Sean Spicer,Tue Aug 04 22:15:01 +0000 2020,Tweet
kind of like how the protests were mostly peaceful https://t.co/d1odNMfqOP,Sean Spicer,Tue Aug 04 22:12:55 +0000 2020,Tweet
FYI - you might want to pull the clip of CNN contributor Joe Lockhart on CNN's Smerconish -- pretty sure neither one of those people qualify of being anywhere close to right wing (but that would be close to journalism which I know you aren't a fan of) https://t.co/d1odNMfqOP,Sean Spicer,Tue Aug 04 21:56:59 +0000 2020,Tweet
I'm guessing this may be a first in modern history that the Postmaster General is being called to negotiations https://t.co/ekaFqowsqC,Sean Spicer,Tue Aug 04 21:48:34 +0000 2020,Tweet
"RT @newsmax : The next Supreme Court vacancy could become a major election issue. Trump legal advisor @JordanSekulow weighs in with @seanspicer at 6PM ET.

WATCH LIVE on Newsmax TV: https://t.co/VlT7z8drtO https://t.co/jWWpFxvhPM",Sean Spicer,Tue Aug 04 21:00:11 +0000 2020,Retweet
"RT @cabot_phillips : A college student was expelled after being accused of using racial slurs in social media posts...It turns out the posts were photoshopped by students out to get her.

I say expel any student who took part in trying to ruin her life. 

https://t.co/tyvw0Te3Ge",Sean Spicer,Tue Aug 04 20:36:02 +0000 2020,Retweet
I'm guessing the 14% that don't believe this work for them ...86%  of Americans believe there is “a great deal” or “a fair amount” of political bias in the way the media covers news - up almost 25% f in 2007. https://t.co/8j6jf4bkCu,Sean Spicer,Tue Aug 04 17:47:04 +0000 2020,Tweet
RT @MZHemingway : A remarkably powerful and almost completely unaccountable group legitimately viewed as this corrupt is a serious threat to the health of the republic. https://t.co/aefrFWGW03,Sean Spicer,Tue Aug 04 17:16:52 +0000 2020,Retweet
Outrage!!  @PressSec came prepared to the @WhiteHouse briefing,Sean Spicer,Tue Aug 04 17:16:37 +0000 2020,Tweet
".@RepVernonJones is a black democrat state rep from Georgia that supports @POTUS @realDonaldTrump - during an interview on @MSNBC he was asked if he got paid to support President Trump - he will join #spicerandco at 6pm ET tonight on @newsmax 
https://t.co/8VL9QXpv43",Sean Spicer,Tue Aug 04 17:15:16 +0000 2020,Tweet
RT @TVNewsHQ : MSNBC producer resigns from network with scathing letter: They block 'diversity of thought' and 'amplify fringe voices' https://t.co/Q8zVNTaykU https://t.co/mrCnHoDRLm,Sean Spicer,Tue Aug 04 12:35:14 +0000 2020,Retweet
"RT @JoeConchaTV : In case you’re wondering what’s helping to fuel the discussion around if the presidential debates will even be held, via a White House former press secretary under President Clinton and current cable news network analyst: https://t.co/4nQnArNM81",Sean Spicer,Tue Aug 04 12:35:07 +0000 2020,Retweet
"RT @hughhewitt : What would a Democratic win for @JoeBiden, Dem Senate and House mean? Hack, hack, pack, and tax: Hack up the filibuster. Pack the Senate with 4 senators from D.C. and Puerto Rico. Pack the Supreme Court. Raise taxes to astronomical levels. Pretty simple really. That's the choice.",Sean Spicer,Tue Aug 04 12:32:44 +0000 2020,Retweet
.@JoeBiden won't do a one on one interview and now Democrats are creating the narrative that he should not debate @realDonaldTrump  What is he afraid of?  The American people need to see Trump and Biden on the same stage,Sean Spicer,Tue Aug 04 02:09:08 +0000 2020,Tweet
RT @JimBridenstine : We have SPLASHDOWN! Welcome home @AstroBehnken and @Astro_Doug! #LaunchAmerica,Sean Spicer,Sun Aug 02 18:56:22 +0000 2020,Retweet
Allowing communist China access to all our personal information is a danger to our freedom and national security.   Get your priorities straight https://t.co/PpOGGLVwnu,Sean Spicer,Sat Aug 01 15:23:45 +0000 2020,Tweet
"RT @amyewalter : This mom who didn’t allow her tween have his own tik tok account is looking *pretty, pretty* good right now...",Sean Spicer,Sat Aug 01 14:50:01 +0000 2020,Retweet
Aboard Air Force One @POTUS @realDonaldTrump tell reporters says he plans to bar TikTok from operating in the US,Sean Spicer,Sat Aug 01 02:52:11 +0000 2020,Tweet
"RT @newsmax : ""I asked for everything to be unsealed.""

EPSTEIN RECORDS 🔊: @AlanDersh opens up about his connections to Ghislaine Maxwell and 'Epstein Island' as new documents have been declassified. [with @seanspicer &amp; @ASwoyer. https://t.co/VlT7z8drtO] https://t.co/O2wfTyOlVL",Sean Spicer,Sat Aug 01 00:39:10 +0000 2020,Retweet
"RT @newsmax : NOW [6 PM ET] on Newsmax TV: Alan Dershowitz speaks out against his accusers, comments on new revelations from 'Epstein Island,' and more with @seanspicer.
WATCH LIVE: https://t.co/VlT7z8v2lm https://t.co/ro3it66AP4",Sean Spicer,Fri Jul 31 21:34:11 +0000 2020,Retweet
"RT @SecretsBedard : Third poll shows close race, Biden 50%, Trump 46%, 53% think Trump will win https://t.co/Kc4jCW6yEv https://t.co/M6mcyZ3Jyr",Sean Spicer,Fri Jul 31 20:36:56 +0000 2020,Retweet
Looking forward to a great show.  Tune in 6pm ET @newsmax https://t.co/fDdLEhWJVQ,Sean Spicer,Fri Jul 31 20:36:40 +0000 2020,Tweet
Tonight on #spicerandco @AlanDersh weighs in on the latest documents in #JefferyEpstein case and #GeneralFlynn legal drama,Sean Spicer,Fri Jul 31 20:36:05 +0000 2020,Tweet
"If you live in a red state and get #covid Massachusetts Democrat Congressman @sethmoulton says... ""red states are, you know, they kind of — they’re getting what was coming to them""",Sean Spicer,Fri Jul 31 20:06:25 +0000 2020,Tweet
Coin Shortage or Cashless Conspiracy? | https://t.co/KzX1CFVlFm https://t.co/AAvEfJrf3y via @Newsmax,Sean Spicer,Fri Jul 31 18:11:15 +0000 2020,Tweet
"In interview w @NBA Commissioner @wolfblitzer ignores report of ""human rights abuses that allegedly took place at the NBA's training academies in China""..maybe because @CNN is sister network of @TNT which has a major partnership with the NBA.
via @FoxNews
https://t.co/d43xGC9qGY",Sean Spicer,Fri Jul 31 14:38:27 +0000 2020,Tweet
"Despite what @politico says there is a difference between absentee voting and all mail voting - @RepMeuser weighs in and talks about potential fraud

WATCH: https://t.co/zJZfC9P4t7 https://t.co/v4VbgeFIF4",Sean Spicer,Fri Jul 31 12:13:45 +0000 2020,Tweet
".@SecPompeo slams U.S. tech firms for downplaying Chinese cyber threat to lawmakers

https://t.co/5saky96lfZ",Sean Spicer,Thu Jul 30 22:48:56 +0000 2020,Tweet
"reminder, according to the media voter fraud isn't an issue....so please ignore the 4 people the FBI just  arrested for a voter fraud scheme via @DailyCaller 

https://t.co/UME3vKoCHR",Sean Spicer,Thu Jul 30 22:40:32 +0000 2020,Tweet
